MISO.eventID,p.val_pre_post,BrainSpan (Postnatal),BrainSpan (Prenatal),GTEx,dPSI_pre_post,DM1_inclusion,Ensembl.geneID,HGNC.genesymbol,Chr,Strand,Start_up,End_up,Start_se,End_se,Start_dn,End_dn,Length_up,Length_se,Length_dn
chr1:7752459:7752533:+@chr1:7755638:7755668:+@chr1:7766459:7767856:+,5.53688193323706e-20,0.331153846153846,0.0911475409836066,0.329593023255814,-0.24000630517024,-,ENSG00000171735.18,CAMTA1,chr1,+,7752459,7752533,7755638,7755668,7766459,7767856,75,31,1398
chr1:86724313:86724405:+@chr1:86728403:86728489:+@chr1:86734602:86734691:+,2.59026410649906e-14,0.160769230769231,0.463770491803279,0.125058139534884,0.303001261034048,-,ENSG00000097033.14,SH3GLB1,chr1,+,86724313,86724405,86728403,86728489,86734602,86734691,93,87,90
chr10:110130363:110130486:+@chr10:110132305:110132400:+@chr10:110133326:110135565:+,1.20869730878766e-16,0.259102564102564,0.647704918032787,0.270639534883721,0.388602353930223,+,ENSG00000148700.14,ADD3,chr10,+,110130363,110130486,110132305,110132400,110133326,110135565,124,96,2240
chr10:122227837:122228008:+@chr10:122229346:122229486:+@chr10:122237395:122237538:+,6.54675551293626e-17,0.835384615384615,0.494426229508197,0.766511627906977,-0.340958385876419,-,ENSG00000138162.18,TACC2,chr10,+,122227837,122228008,122229346,122229486,122237395,122237538,172,141,144
chr10:122241958:122242001:+@chr10:122245065:122245073:+@chr10:122248643:122248803:+,3.3594219177354e-23,0.176025641025641,0.854262295081967,0.0801744186046512,0.678236654056326,+,ENSG00000138162.18,TACC2,chr10,+,122241958,122242001,122245065,122245073,122248643,122248803,44,9,161
chr10:125160319:125160520:-@chr10:125133512:125133612:-@chr10:125038997:125039155:-,2.81490958265673e-19,0.298717948717949,0.0819672131147541,0.190290697674419,-0.216750735603195,-,ENSG00000175029.16,CTBP2,chr10,-,125160319,125160520,125133512,125133612,125038997,125039155,202,101,159
chr10:16486352:16486617:+@chr10:16505020:16505160:+@chr10:16511046:16513745:+,2.54793881106431e-08,0.0411538461538462,0.258196721311475,0.212383720930233,0.217042875157629,+,ENSG00000165983.14,PTER,chr10,+,16486352,16486617,16505020,16505160,16511046,16513745,266,141,2700
chr10:24591225:24591330:-@chr10:24590206:24590479:-@chr10:24589271:24589302:-,7.10190507911654e-22,0.568205128205128,0.0867213114754098,0.413139534883721,-0.481483816729718,-,ENSG00000107863.17,ARHGAP21,chr10,-,24591225,24591330,24590206,24590479,24589271,24589302,106,274,32
chr10:26759062:26759238:-@chr10:26755655:26755741:-@chr10:26751598:26751783:-,7.70570549070983e-15,0.460769230769231,0.237540983606557,0.540348837209302,-0.223228247162673,+,ENSG00000136754.16,ABI1,chr10,-,26759062,26759238,26755655,26755741,26751598,26751783,177,87,186
chr10:26765218:26765318:-@chr10:26755655:26755741:-@chr10:26751598:26751783:-,5.66240491126886e-11,0.575384615384615,0.337868852459016,0.662558139534884,-0.237515762925599,-,ENSG00000136754.16,ABI1,chr10,-,26765218,26765318,26755655,26755741,26751598,26751783,101,87,186
chr10:27223338:27223452:-@chr10:27223207:27223239:-@chr10:27219723:27219857:-,5.3713680494819e-09,0.331666666666667,0.544754098360656,0.225523255813954,0.213087431693989,-,ENSG00000107897.18,ACBD5,chr10,-,27223338,27223452,27223207,27223239,27219723,27219857,115,33,135
chr10:45785509:45785631:+@chr10:45786612:45786674:+@chr10:45787035:45787247:+,5.42506018107698e-17,0.495384615384615,0.263606557377049,0.406976744186047,-0.231778058007566,-,ENSG00000172661.17,WASHC2C,chr10,+,45785509,45785631,45786612,45786674,45787035,45787247,123,63,213
chr10:50126057:50126179:+@chr10:50127160:50127222:+@chr10:50127583:50127795:+,4.31327443063203e-17,0.49525641025641,0.262786885245902,0.387267441860465,-0.232469525010509,-,ENSG00000099290.15,WASHC2A,chr10,+,50126057,50126179,50127160,50127222,50127583,50127795,123,63,213
chr10:60069978:60072569:-@chr10:60068649:60068869:-@chr10:60067935:60068009:-,5.80543499861675e-22,0.196923076923077,0.610655737704918,0.241395348837209,0.413732660781841,-,ENSG00000151150.21,ANK3,chr10,-,60069978,60072569,60068649,60068869,60067935,60068009,2592,221,75
chr10:60080537:60080618:-@chr10:60068637:60076448:-@chr10:60067935:60068009:-,6.90755659671432e-14,0.625512820512821,0.857377049180328,0.507848837209302,0.231864228667507,+,ENSG00000151150.21,ANK3,chr10,-,60080537,60080618,60068637,60076448,60067935,60068009,82,7812,75
chr10:68346007:68346084:-@chr10:68345702:68345911:-@chr10:68341107:68341288:-,3.4575837593566e-10,0.501025641025641,0.286229508196721,0.645058139534884,-0.21479613282892,-,ENSG00000204130.12,RUFY2,chr10,-,68346007,68346084,68345702,68345911,68341107,68341288,78,210,182
chr10:73520908:73521027:-@chr10:73519797:73519992:-@chr10:73516375:73517747:-,7.2290858589014e-16,0.394358974358974,0.814754098360656,0.34343023255814,0.420395124001681,+,ENSG00000166348.18,USP54,chr10,-,73520908,73521027,73519797,73519992,73516375,73517747,120,196,1373
chr10:73523583:73523750:-@chr10:73520908:73521027:-@chr10:73516375:73517747:-,3.73892109205519e-17,0.364615384615385,0.753606557377049,0.306744186046512,0.388991172761665,-,ENSG00000166348.18,USP54,chr10,-,73523583,73523750,73520908,73521027,73516375,73517747,168,120,1373
chr10:95339133:95339327:-@chr10:95336521:95336805:-@chr10:95322746:95322805:-,6.00282351326151e-17,0.304358974358974,0.0709836065573771,0.16156976744186,-0.233375367801597,-,ENSG00000095637.21,SORBS1,chr10,-,95339133,95339327,95336521,95336805,95322746,95322805,195,285,60
chr10:95339133:95339327:-@chr10:95336521:95337294:-@chr10:95322746:95322805:-,8.22649035230878e-16,0.348974358974359,0.0726229508196721,0.234883720930233,-0.276351408154687,-,ENSG00000095637.21,SORBS1,chr10,-,95339133,95339327,95336521,95337294,95322746,95322805,195,774,60
chr10:95354882:95354967:-@chr10:95351209:95351376:-@chr10:95346406:95346452:-,1.2417879846393e-20,0.88525641025641,0.390819672131148,0.92843023255814,-0.494436738125263,-,ENSG00000095637.21,SORBS1,chr10,-,95354882,95354967,95351209,95351376,95346406,95346452,86,168,47
chr10:95354882:95354967:-@chr10:95351216:95351376:-@chr10:95346406:95346452:-,3.90363458072151e-20,0.865512820512821,0.367049180327869,0.909709302325581,-0.498463640184952,-,ENSG00000095637.21,SORBS1,chr10,-,95354882,95354967,95351216,95351376,95346406,95346452,86,161,47
chr10:95381685:95381799:-@chr10:95375973:95376056:-@chr10:95367650:95367699:-,5.6405372567627e-23,0.733333333333333,0.270655737704918,0.807093023255814,-0.462677595628415,-,ENSG00000095637.21,SORBS1,chr10,-,95381685,95381799,95375973,95376056,95367650,95367699,115,84,50
chr10:97453530:97453663:+@chr10:97453799:97453846:+@chr10:97454714:97454799:+,1.05608679072498e-22,0.792307692307692,0.354590163934426,0.819593023255814,-0.437717528373266,-,ENSG00000171307.18,ZDHHC16,chr10,+,97453530,97453663,97453799,97453846,97454714,97454799,134,48,86
chr11:106077312:106077765:-@chr11:106076507:106076707:-@chr11:106051098:106054455:-,2.48792807404205e-13,0.886794871794872,0.670655737704918,0.935639534883721,-0.216139134089954,+,ENSG00000182359.14,KBTBD3,chr11,-,106077312,106077765,106076507,106076707,106051098,106054455,454,201,3358
chr11:106077312:106077765:-@chr11:106076507:106076707:-@chr11:106058865:106059109:-,2.2735322694559e-18,0.835384615384615,0.310655737704918,0.849302325581395,-0.524728877679697,+,ENSG00000182359.14,KBTBD3,chr11,-,106077312,106077765,106076507,106076707,106058865,106059109,454,201,245
chr11:112228594:112228673:+@chr11:112230208:112230230:+@chr11:112230626:112230682:+,9.91400968442539e-16,0.27974358974359,0.603770491803279,0.389011627906977,0.324026902059689,+,ENSG00000150787.7,PTS,chr11,+,112228594,112228673,112230208,112230230,112230626,112230682,80,23,57
chr11:113214369:113214511:+@chr11:113221296:113221325:+@chr11:113231645:113231795:+,9.15749848246658e-24,0.470641025641026,0.127704918032787,0.464593023255814,-0.342936107608239,-,ENSG00000149294.16,NCAM1,chr11,+,113214369,113214511,113221296,113221325,113231645,113231795,143,30,151
chr11:113235033:113235164:+@chr11:113246368:113246370:+@chr11:113255877:113256001:+,3.00162251885346e-19,0.280641025641026,0.0372131147540984,0.36343023255814,-0.243427910886927,+,ENSG00000149294.16,NCAM1,chr11,+,113235033,113235164,113246368,113246370,113255877,113256001,132,3,125
chr11:115214608:115214780:-@chr11:115198406:115198438:-@chr11:115178644:115178775:-,6.63304874815078e-24,0.326410256410256,0.79655737704918,0.362848837209302,0.470147120638924,+,ENSG00000182985.17,CADM1,chr11,-,115214608,115214780,115198406,115198438,115178644,115178775,173,33,132
chr11:115214608:115214780:-@chr11:115209574:115209657:-@chr11:115198406:115198438:-,6.58475370141752e-13,0.376025641025641,0.126065573770492,0.585174418604651,-0.249960067255149,+,ENSG00000182985.17,CADM1,chr11,-,115214608,115214780,115209574,115209657,115198406,115198438,173,84,33
chr11:118632159:118632296:+@chr11:118634923:118635051:+@chr11:118635393:118635548:+,1.97724512048264e-16,0.120512820512821,0.322622950819672,0.166686046511628,0.202110130306852,-,ENSG00000019144.18,PHLDB1,chr11,+,118632159,118632296,118634923,118635051,118635393,118635548,138,129,156
chr11:118655605:118655690:+@chr11:118655860:118655892:+@chr11:118656683:118658025:+,5.16619433324863e-24,0.381153846153846,0.0170491803278689,0.311860465116279,-0.364104665825977,-,ENSG00000019144.18,PHLDB1,chr11,+,118655605,118655690,118655860,118655892,118656683,118658025,86,33,1343
chr11:17771665:17772598:+@chr11:17779456:17779644:+@chr11:17853543:17853678:+,8.26765909826527e-21,0.745897435897436,0.328524590163934,0.872790697674419,-0.417372845733501,-,ENSG00000129159.7,KCNC1,chr11,+,17771665,17772598,17779456,17779644,17853543,17853678,934,189,136
chr11:47324471:47324577:+@chr11:47326544:47326552:+@chr11:47326738:47326807:+,1.24731144927339e-12,0.425384615384615,0.659180327868853,0.401802325581395,0.233795712484237,+,ENSG00000110514.19,MADD,chr11,+,47324471,47324577,47326544,47326552,47326738,47326807,107,9,70
chr11:57597518:57597722:+@chr11:57598009:57598321:+@chr11:57599879:57600377:+,2.09888954117988e-11,0.382435897435897,0.644262295081967,0.39906976744186,0.26182639764607,-,ENSG00000149131.15,SERPING1,chr11,+,57597518,57597722,57598009,57598321,57599879,57600377,205,313,499
chr11:62853075:62853115:-@chr11:62852811:62852839:-@chr11:62851988:62852681:-,7.61772187798155e-20,0.726410256410256,0.930983606557377,0.898662790697675,0.204573350147121,+,ENSG00000255717.6,SNHG1,chr11,-,62853075,62853115,62852811,62852839,62851988,62852681,41,29,694
chr11:63681500:63681778:+@chr11:63704851:63704907:+@chr11:63713971:63714479:+,1.00484010325558e-15,0.311410256410256,0.11,0.279651162790698,-0.201410256410256,-,ENSG00000133318.13,RTN3,chr11,+,63681500,63681778,63704851,63704907,63713971,63714479,279,57,509
chr11:63681500:63681778:+@chr11:63704851:63704907:+@chr11:63718702:63721032:+,2.65410254055341e-14,0.639871794871795,0.297049180327869,0.670523255813953,-0.342822614543926,-,ENSG00000133318.13,RTN3,chr11,+,63681500,63681778,63704851,63704907,63718702,63721032,279,57,2331
chr11:63681500:63681778:+@chr11:63704851:63704907:+@chr11:63718981:63721032:+,4.8440521539022e-15,0.514615384615385,0.244918032786885,0.553837209302326,-0.269697351828499,+,ENSG00000133318.13,RTN3,chr11,+,63681500,63681778,63704851,63704907,63718981,63721032,279,57,2052
chr11:65570886:65570970:+@chr11:65571391:65571779:+@chr11:65572443:65572892:+,1.47977750867845e-13,0.849358974358974,0.464098360655738,0.946918604651163,-0.385260613703237,-,ENSG00000173465.7,SSSCA1,chr11,+,65570886,65570970,65571391,65571779,65572443,65572892,85,389,450
chr11:66728741:66729226:-@chr11:66721350:66721440:-@chr11:66721084:66721262:-,1.05368163012967e-22,0.21948717948718,0.654918032786885,0.257848837209302,0.435430853299706,+,ENSG00000173898.11,SPTBN2,chr11,-,66728741,66729226,66721350,66721440,66721084,66721262,486,91,179
chr11:72012895:72016260:-@chr11:72012401:72012442:-@chr11:72010786:72010854:-,9.86840141721342e-24,0.396538461538462,0.0559016393442623,0.48,-0.340636822194199,-,ENSG00000137497.17,NUMA1,chr11,-,72012895,72016260,72012401,72012442,72010786,72010854,3366,42,69
chr11:72902543:72902638:-@chr11:72900257:72900328:-@chr11:72889829:72889945:-,5.86940594552853e-15,0.163589743589744,0.414918032786885,0.116046511627907,0.251328289197142,-,ENSG00000137478.14,FCHSD2,chr11,-,72902543,72902638,72900257,72900328,72889829,72889945,96,72,117
chr11:73878779:73878819:+@chr11:73886929:73887099:+@chr11:73887354:73887457:+,6.91091006870324e-15,0.444230769230769,0.20655737704918,0.619302325581395,-0.237673392181589,+,ENSG00000175575.12,PAAF1,chr11,+,73878779,73878819,73886929,73887099,73887354,73887457,41,171,104
chr11:73878779:73878819:+@chr11:73887031:73887099:+@chr11:73887354:73887457:+,1.97727794325905e-16,0.587051282051282,0.281639344262295,0.682616279069768,-0.305411937788987,-,ENSG00000175575.12,PAAF1,chr11,+,73878779,73878819,73887031,73887099,73887354,73887457,41,69,104
chr11:73878779:73878819:+@chr11:73887040:73887099:+@chr11:73887354:73887457:+,1.29216962271414e-16,0.638717948717949,0.320655737704918,0.73203488372093,-0.318062211013031,+,ENSG00000175575.12,PAAF1,chr11,+,73878779,73878819,73887040,73887099,73887354,73887457,41,60,104
chr11:85981129:85981228:-@chr11:85978070:85978093:-@chr11:85976623:85976682:-,1.20729749812196e-23,0.65974358974359,0.0744262295081967,0.649593023255814,-0.585317360235393,-,ENSG00000073921.17,PICALM,chr11,-,85981129,85981228,85978070,85978093,85976623,85976682,100,24,60
chr11:85996826:85996929:-@chr11:85990250:85990378:-@chr11:85983866:85983973:-,6.01686996496604e-12,0.429102564102564,0.711639344262295,0.342616279069767,0.282536780159731,-,ENSG00000073921.17,PICALM,chr11,-,85996826,85996929,85990250,85990378,85983866,85983973,104,129,108
chr11:85996826:85996929:-@chr11:85990250:85990399:-@chr11:85983866:85983973:-,8.33233727533017e-12,0.516282051282051,0.781803278688525,0.410290697674419,0.265521227406473,-,ENSG00000073921.17,PICALM,chr11,-,85996826,85996929,85990250,85990399,85983866,85983973,104,150,108
chr11:88567053:88567992:-@chr11:88525309:88525404:-@chr11:88507810:88509504:-,4.72934778352284e-23,0.710384615384615,0.200819672131148,0.579825581395349,-0.509564943253468,-,ENSG00000168959.14,GRM5,chr11,-,88567053,88567992,88525309,88525404,88507810,88509504,940,96,1695
chr11:9264961:9265390:-@chr11:9207561:9207632:-@chr11:9206673:9206782:-,7.31471048243894e-11,0.701666666666667,0.447704918032787,0.791395348837209,-0.25396174863388,+,ENSG00000184014.7,DENND5A,chr11,-,9264961,9265390,9207561,9207632,9206673,9206782,430,72,110
chr12:101716728:101716812:+@chr12:101719490:101719516:+@chr12:101720123:101720254:+,1.57164363866315e-12,0.305,0.646393442622951,0.174883720930233,0.341393442622951,+,ENSG00000111666.10,CHPT1,chr12,+,101716728,101716812,101719490,101719516,101720123,101720254,85,27,132
chr12:110626362:110626492:+@chr12:110628052:110628224:+@chr12:110628767:110628918:+,8.62211341251579e-17,0.309615384615385,0.099672131147541,0.214186046511628,-0.209943253467844,+,ENSG00000204852.15,TCTN1,chr12,+,110626362,110626492,110628052,110628224,110628767,110628918,131,173,152
chr12:111518249:111518427:-@chr12:111516154:111516363:-@chr12:111513357:111513539:-,2.59921677817768e-11,0.766538461538462,0.556065573770492,0.84343023255814,-0.21047288776797,-,ENSG00000204842.14,ATXN2,chr12,-,111518249,111518427,111516154,111516363,111513357,111513539,179,210,183
chr12:111841684:111841906:-@chr12:111841327:111841470:-@chr12:111840333:111840477:-,2.32803369671411e-17,0.402435897435897,0.656229508196721,0.435813953488372,0.253793610760824,+,ENSG00000234608.7,MAPKAPK5-AS1,chr12,-,111841684,111841906,111841327,111841470,111840333,111840477,223,144,145
chr12:121245140:121245240:-@chr12:121244573:121244615:-@chr12:121237697:121240869:-,1.38685726115352e-23,0.577051282051282,0.0434426229508197,0.538720930232558,-0.533608659100462,-,ENSG00000110931.18,CAMKK2,chr12,-,121245140,121245240,121244573,121244615,121237697,121240869,101,43,3173
chr12:122352726:122352786:-@chr12:122347375:122347479:-@chr12:122340753:122341697:-,1.06491066958597e-14,0.650512820512821,0.871475409836066,0.566104651162791,0.220962589323245,+,ENSG00000130779.19,CLIP1,chr12,-,122352726,122352786,122347375,122347479,122340753,122341697,61,105,945
chr12:130798525:130798635:-@chr12:130795995:130796120:-@chr12:130789600:130791977:-,5.40854231081835e-16,0.333717948717949,0.64672131147541,0.292325581395349,0.313003362757461,+,ENSG00000111450.13,STX2,chr12,-,130798525,130798635,130795995,130796120,130789600,130791977,111,126,2378
chr12:1408149:1408247:+@chr12:1410389:1410453:+@chr12:1444562:1444750:+,6.63453791172634e-13,0.577435897435897,0.838688524590164,0.430988372093023,0.261252627154267,+,ENSG00000082805.19,ERC1,chr12,+,1408149,1408247,1410389,1410453,1444562,1444750,99,65,189
chr12:21512295:21512376:+@chr12:21515238:21515270:+@chr12:21515669:21518408:+,3.85148318404469e-14,0.396410256410256,0.169672131147541,0.24656976744186,-0.226738125262715,+,ENSG00000111711.9,GOLT1B,chr12,+,21512295,21512376,21515238,21515270,21515669,21518408,82,33,2740
chr12:22469709:22469795:-@chr12:22459492:22459542:-@chr12:22456971:22457161:-,3.32292792111595e-13,0.588076923076923,0.312459016393443,0.509069767441861,-0.27561790668348,-,ENSG00000111731.12,C2CD5,chr12,-,22469709,22469795,22459492,22459542,22456971,22457161,87,51,191
chr12:22506711:22506819:-@chr12:22502739:22502804:-@chr12:22493223:22493337:-,1.2481117018612e-23,0.409615384615385,0.0377049180327869,0.29406976744186,-0.371910466582598,-,ENSG00000111731.12,C2CD5,chr12,-,22506711,22506819,22502739,22502804,22493223,22493337,109,66,115
chr12:32701415:32701562:+@chr12:32705825:32705863:+@chr12:32707367:32707413:+,2.76460975557907e-16,0.471282051282051,0.151967213114754,0.449709302325581,-0.319314838167297,-,ENSG00000087470.17,DNM1L,chr12,+,32701415,32701562,32705825,32705863,32707367,32707413,148,39,47
chr12:39351777:39351980:-@chr12:39346466:39346504:-@chr12:39342034:39342124:-,8.39299347793752e-14,0.372564102564103,0.635081967213115,0.41046511627907,0.262517864649012,+,ENSG00000139116.18,KIF21A,chr12,-,39351777,39351980,39346466,39346504,39342034,39342124,204,39,91
chr12:42374863:42375074:+@chr12:42384940:42384996:+@chr12:42387456:42387535:+,2.58544459967815e-23,0.42948717948718,0.0845901639344262,0.480523255813954,-0.344897015552753,-,ENSG00000134283.17,PPHLN1,chr12,+,42374863,42375074,42384940,42384996,42387456,42387535,212,57,80
chr12:53045961:53046061:-@chr12:53045600:53045653:-@chr12:53038967:53040263:-,7.26563408597643e-21,0.584615384615385,0.145901639344262,0.676802325581395,-0.438713745271122,-,ENSG00000257337.6,RP11-983P16.4,chr12,-,53045961,53046061,53045600,53045653,53038967,53040263,101,54,1297
